gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
853,201804070SEA,1,2018,04/07/2018,1,0,MIN,Windchill,28,1565.5810297863682,1559.3302566397663,SEA,Cascades,29,1531.5118057467862,1537.762578893388,A,L,0.45703239199416745
854,201804070PIT,0,2018,04/07/2018,1,0,PIT,Thunderbirds,17,1561.4981382310805,1563.4488292587891,DET,Mechanix,16,1336.4025016902542,1334.4518106625455,H,W,0.8407967488564745
854,201804070PIT,1,2018,04/07/2018,2,0,DET,Mechanix,16,1336.4025016902542,1334.4518106625455,PIT,Thunderbirds,17,1561.4981382310805,1563.4488292587891,A,L,0.15920325114352551
855,201804070LAX,0,2018,04/07/2018,1,0,LA,Aviators,30,1546.7398867912664,1562.5347869302109,SD,Growlers,17,1477.6779005649087,1461.8830004259642,H,W,0.6826476922367124
855,201804070LAX,1,2018,04/07/2018,1,0,SD,Growlers,17,1477.6779005649087,1461.8830004259642,LA,Aviators,30,1546.7398867912664,1562.5347869302109,A,L,0.3173523077632876
856,201804070DCX,0,2018,04/07/2018,1,0,DC,Breeze,22,1592.8297991784646,1576.9976247300656,MTL,Royal,24,1527.3614607424909,1543.1936351908898,H,L,0.6781492931198623
856,201804070DCX,1,2018,04/07/2018,1,0,MTL,Royal,24,1527.3614607424909,1543.1936351908898,DC,Breeze,22,1592.8297991784646,1576.9976247300656,A,W,0.3218507068801377
857,201804070SFX,0,2018,04/07/2018,1,0,SF,Flamethrowers,20,1621.5373715904552,1610.27808485574,SJ,Spiders,21,1500.364227000143,1511.6235137348583,H,L,0.7438244890348745
857,201804070SFX,1,2018,04/07/2018,1,0,SJ,Spiders,21,1500.364227000143,1511.6235137348583,SF,Flamethrowers,20,1621.5373715904552,1610.27808485574,A,W,0.2561755109651255
858,201804070TBX,0,2018,04/07/2018,2,0,TB,Cannons,15,1527.8295884062707,1512.8090218653658,ATL,Hustle,17,1484.1682307843275,1499.1887973252324,H,L,0.6501613677901253
858,201804070TBX,1,2018,04/07/2018,1,0,ATL,Hustle,17,1484.1682307843275,1499.1887973252324,TB,Cannons,15,1527.8295884062707,1512.8090218653658,A,W,0.34983863220987466
859,201804070RAL,0,2018,04/07/2018,2,0,RAL,Flyers,14,1613.9186021250382,1598.666917943748,DAL,Roughnecks,17,1648.2042404636147,1663.4559246449048,H,L,0.5426584462649102
859,201804070RAL,1,2018,04/07/2018,1,0,DAL,Roughnecks,17,1648.2042404636147,1663.4559246449048,RAL,Flyers,14,1613.9186021250382,1598.666917943748,A,W,0.4573415537350898
860,201804070IND,0,2018,04/07/2018,2,0,IND,Alleycats,13,1527.367578781522,1509.776025967561,MAD,Radicals,20,1638.8330749922352,1656.4246278061962,H,L,0.4321134827186579
860,201804070IND,1,2018,04/07/2018,1,0,MAD,Radicals,20,1638.8330749922352,1656.4246278061962,IND,Alleycats,13,1527.367578781522,1509.776025967561,A,W,0.5678865172813421
861,201804140PIT,0,2018,04/14/2018,2,0,PIT,Thunderbirds,15,1563.4488292587891,1533.426469673989,CHI,Wildfire,20,1426.1334917340985,1456.1558513188986,H,L,0.7611262797063885
861,201804140PIT,1,2018,04/14/2018,1,0,CHI,Wildfire,20,1426.1334917340985,1456.1558513188986,PIT,Thunderbirds,15,1563.4488292587891,1533.426469673989,A,W,0.23887372029361154
862,201804140SEA,0,2018,04/14/2018,2,0,SEA,Cascades,16,1537.762578893388,1509.040470304757,SD,Growlers,22,1461.8830004259642,1490.6051090145952,H,L,0.6910881835661229
862,201804140SEA,1,2018,04/14/2018,2,0,SD,Growlers,22,1461.8830004259642,1490.6051090145952,SEA,Cascades,16,1537.762578893388,1509.040470304757,A,W,0.3089118164338771
863,201804140TBX,0,2018,04/14/2018,3,0,TB,Cannons,17,1512.8090218653658,1499.9448865120098,RAL,Flyers,20,1598.666917943748,1611.531053297104,H,L,0.4685853936268664
863,201804140TBX,1,2018,04/14/2018,3,0,RAL,Flyers,20,1598.666917943748,1611.531053297104,TB,Cannons,17,1512.8090218653658,1499.9448865120098,A,W,0.5314146063731335
864,201804140SJX,0,2018,04/14/2018,2,0,SJ,Spiders,27,1511.6235137348583,1505.4779357048449,SF,Flamethrowers,28,1610.27808485574,1616.4236628857534,H,L,0.4502927969869395
864,201804140SJX,1,2018,04/14/2018,2,0,SF,Flamethrowers,28,1610.27808485574,1616.4236628857534,SJ,Spiders,27,1511.6235137348583,1505.4779357048449,A,W,0.5497072030130605
865,201804140NYX,0,2018,04/14/2018,1,0,NY,Empire,14,1493.573511282549,1481.4429003173145,TOR,Rush,18,1635.1695188616457,1647.30012982688,H,L,0.39015076588458186
865,201804140NYX,1,2018,04/14/2018,1,0,TOR,Rush,18,1635.1695188616457,1647.30012982688,NY,Empire,14,1493.573511282549,1481.4429003173145,A,W,0.6098492341154181
866,201804140AUS,0,2018,04/14/2018,1,0,AUS,Sol,23,1471.6212263345697,1479.181045047731,LA,Aviators,22,1562.5347869302109,1554.9749682170495,H,W,0.4613455583896208
866,201804140AUS,1,2018,04/14/2018,2,0,LA,Aviators,22,1562.5347869302109,1554.9749682170495,AUS,Sol,23,1471.6212263345697,1479.181045047731,A,L,0.5386544416103791
867,201804150NSH,0,2018,04/15/2018,1,0,NSH,Nightwatch,17,1342.7278929863767,1337.8055773442977,ATL,Hustle,18,1499.1887973252324,1504.1111129673113,H,L,0.3699927887795267
867,201804150NSH,1,2018,04/15/2018,2,0,ATL,Hustle,18,1499.1887973252324,1504.1111129673113,NSH,Nightwatch,17,1342.7278929863767,1337.8055773442977,A,W,0.6300072112204733
868,201804150PHI,0,2018,04/15/2018,1,0,PHI,Phoenix,18,1404.3259007596062,1400.9538020256202,TOR,Rush,19,1647.30012982688,1650.672228560866,H,L,0.263033995553918
868,201804150PHI,1,2018,04/15/2018,2,0,TOR,Rush,19,1647.30012982688,1650.672228560866,PHI,Phoenix,18,1404.3259007596062,1400.9538020256202,A,W,0.736966004446082
